"agno";"rbd";"nom_rbd";"mrun";"doc_genero";"doc_fec_nac";"cod_sec";"cod_espe";"cod_ense";"cod_grado"
2019;8485;"LICEO INSTITUTO NACIONAL";8987700;2;196503;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";20265568;2;195712;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";619992;1;197501;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";16253934;2;196907;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";18693037;1;197801;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";7460803;2;196407;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";10622995;1;198606;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";13733520;2;196107;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";14138162;1;199110;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";10668522;2;195809;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";8079229;2;196002;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";13486517;2;198606;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";22676954;2;197405;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";1236742;2;194902;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";23230080;2;196608;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";16253934;2;196907;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";18693037;1;197801;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";7460803;2;196407;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";20492624;2;198204;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";13733520;2;196107;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";13733520;2;196107;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";8565439;1;195804;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";9859059;1;197602;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";22676954;2;197405;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";8079229;2;196002;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";20763938;2;197412;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";10186340;2;197702;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";111208;1;197907;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";18487444;1;199102;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";17119663;2;197103;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";6388247;1;195802;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";10186340;2;197702;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";13733520;2;196107;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";13733520;2;196107;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";8565439;1;195804;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";15913869;1;198009;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";8079229;2;196002;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";13486517;2;198606;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";11175447;2;198405;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";111208;1;197907;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";18487444;1;199102;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";2847836;1;198302;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";4456378;2;196504;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";1830404;2;196709;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";13733520;2;196107;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";21575233;1;196508;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";11175447;2;198405;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";6502184;1;197401;0;0;310;1
