"AGNO";"RBD";"NOM_RBD";"MRUN";"DOC_GENERO";"DOC_FEC_NAC";"COD_SEC";"COD_ESPE";"COD_ENSE";"COD_GRADO"
2022;8485;"LICEO INSTITUTO NACIONAL";14901732;2;195403;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";19333192;1;195909;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";19333192;1;195909;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";1236742;2;194902;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";1865222;2;198802;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";3978081;1;196301;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";13446454;2;198606;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";4513235;1;197904;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";23887921;1;196603;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";11330298;2;199506;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";6502184;1;197401;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";19395027;1;199504;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";9224153;1;195903;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";1236742;2;194902;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";1865222;2;198802;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";3978081;1;196301;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";13446454;2;198606;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";4513235;1;197904;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";23887921;1;196603;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";5916389;2;196812;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";6502184;1;197401;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";9836873;2;198012;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";1074611;1;195804;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";1236742;2;194902;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";762292;2;199310;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";24346046;1;198901;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";13446454;2;198606;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";4513235;1;197904;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";23887921;1;196603;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";8411692;1;198908;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";8079229;2;196002;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";9836873;2;198012;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";16765412;2;198408;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";18912136;2;198807;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";762292;2;199310;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";24346046;1;198901;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";13446454;2;198606;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";14544574;1;196408;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";21575233;1;196508;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";9859059;1;197602;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";8411692;1;198908;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";8079229;2;196002;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";11001679;2;198009;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";18487444;1;199102;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";2007469;1;196811;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";18487444;1;199102;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";16253934;2;196907;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";13446454;2;198606;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";14544574;1;196408;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";21575233;1;196508;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";14704687;2;196610;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";8079229;2;196002;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";19333192;1;195909;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";13446454;2;198606;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";2007469;1;196811;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";18487444;1;199102;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";16253934;2;196907;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";13446454;2;198606;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";14544574;1;196408;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";21575233;1;196508;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";14704687;2;196610;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";7142469;1;197004;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";3127433;2;198711;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";18320400;1;197501;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";20265568;2;195712;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";20618202;2;196201;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";18320400;1;197501;0;0;310;1
2022;8485;"LICEO INSTITUTO NACIONAL";13446454;2;198606;0;0;310;1
